id,danceability,energy,key,loudness,acousticness,valence,tempo,cluster
5SkRLpaGtvYPhw02vZhQQ9,0.657,0.734,8,-4.832,0.149,0.434,91.03,36
0j2T0R9dR9qdJYsB7ciXhf,0.617,0.717,10,-7.858,0.00564,0.49,103.992,36
3A4cpTBPaIQdtPFb5JxtaX,0.559,0.733,2,-5.659,0.314,0.611,145.115,52
4mmkhcEm1Ljy1U9nwtsxUo,0.571,0.739,7,-6.11,0.00865,0.66,83.089,66
1pjDKRg5WddCDSlG5PXcKy,0.731,0.818,7,-7.035,0.127,0.862,92.29,28
2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11,-1.538,0.0295,0.811,173.585,21
1gT5TGwbkkkUliNzHRIGi1,0.261,0.852,9,-4.965,0.139,0.431,177.997,48
70ATm56tH7OrQ1zurYssz0,0.594,0.946,3,-4.521,0.0869,0.397,155.826,22
68Zq7PMcPIQE8ol1x3gAqw,0.88,0.438,0,-7.562,0.0147,0.714,90.02,30
2Ozc0me9PV5vlt8cokwdvI,0.783,0.916,1,-3.344,0.11,0.695,95.321,15
4E5IFAXCob6QqZaJMTw5YN,0.769,0.818,6,-1.385,0.263,0.918,88.017,3
41sLy8IQUSgvjjeW2CN0vc,0.866,0.63,9,-4.795,0.0199,0.75,82.044,28
0mEdbdeRFQwBhN4xfyIeUM,0.596,0.62,5,-6.133,0.0122,0.102,80.029,32
3hQCHzkE5oSA3F1xM8bpcM,0.502,0.652,9,-7.224,0.0848,0.648,136.08,0
3IrkbGQCoEPAkzJ0Tkv8nm,0.78,0.657,1,-7.149,0.0321,0.648,163.969,41
5UsLjwBaTHBX4ektWIr4XX,0.457,0.906,5,-2.278,0.249,0.54,104.02,66
0YHI5hydPPth6J5UOzdLDX,0.87,0.653,0,-4.353,0.151,0.755,94.84,30
1SWVDBtw6h3tm9OehOkDhv,0.772,0.821,11,-0.14,0.223,0.77,91.921,59
7lgvU7WnwcNZ8dbGUz8yhP,0.918,0.586,1,-2.89,0.0783,0.779,95.517,30
4JPCdSaqs9dJd7RatFSHww,0.744,0.697,11,-5.063,0.0106,0.767,149.28,34
